LOC_PID,NAME,LOC_CODE,LOC_DESC,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
VIC1084,GRASSMERE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1089,GRE GRE SOUTH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1117,HALLAM,G,GAZETTED LOCALITY,2,VIC,0,0,4273,0,4269,1,3,4269,1,3,3000,3575
VIC1059,GOORAMBAT,G,GAZETTED LOCALITY,2,VIC,0,0,62,0,62,0,0,62,0,0,0,4537
VIC1073,GOWAR EAST,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1093,GREENDALE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1108,GUILDFORD,G,GAZETTED LOCALITY,2,VIC,0,0,152,0,135,11,6,146,6,0,36000,2013
VIC2343,ST GERMAINS,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
WA3280,BAYNTON,G,GAZETTED LOCALITY,5,WA,0,0,0,1531,0,0,0,0,0,0,0,4537
WA3282,PEGS CREEK,G,GAZETTED LOCALITY,5,WA,0,0,0,856,0,0,0,0,0,0,0,4537
VIC1042,GOBARUP,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1050,GOLDIE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1088,GRE GRE NORTH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1109,GUNBOWER,G,GAZETTED LOCALITY,2,VIC,0,0,223,0,4,219,0,105,118,0,66000,1581
SA1021,ORROROO,G,GAZETTED LOCALITY,4,SA,0,0,0,450,0,0,0,0,0,0,1000,3971
SA1034,PALLAMANA,G,GAZETTED LOCALITY,4,SA,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1020,GLENHOPE EAST,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1026,GLENLOTH EAST,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1075,GRAHAMVALE,G,GAZETTED LOCALITY,2,VIC,0,206,1,0,207,0,0,207,0,0,11000,2865
SA1052,PARILLA,G,GAZETTED LOCALITY,4,SA,0,0,0,73,0,0,0,0,0,0,0,4537
WA3311,LYNWOOD,G,GAZETTED LOCALITY,5,WA,0,1638,0,0,1638,0,0,1638,0,0,0,4537
TAS310,LADY BARRON,G,GAZETTED LOCALITY,6,TAS,0,0,0,131,0,0,0,0,0,0,0,4537
VIC1027,GLENLUCE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1045,GOLDEN GULLY,G,GAZETTED LOCALITY,2,VIC,0,129,0,0,129,0,0,129,0,0,0,4537
VIC1060,GOORNONG,G,GAZETTED LOCALITY,2,VIC,18,0,159,0,159,18,0,159,18,0,13000,2747
VIC1104,GRINGEGALGONA,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1112,GUYS FOREST,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC124,BAMAWM,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
