GNAF_PID,LONGITUDE,LATITUDE,FULL_ADDRESS,LOCALITY,POSTCODE,STATE,RELIABILITY,IAG_COORDINATE,SOURCE_TYPE,AVERAGE_ANNUAL_DAMAGE,FLOOD_FREQUENCY
GANSW706161580,153.52913755,-28.17793758,"UNIT 2, 6 DUCAT STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706155481,153.52986288,-28.17801501,"UNIT 4, 6 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706162050,153.52752610,-28.18154866,24 COMPASS WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706151888,153.52983398,-28.18570732,33 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,H,H
GANSW706137818,153.52593266,-28.18541212,103 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,H,H
GANSW706165450,153.53059142,-28.18541434,25 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706145246,153.53124690,-28.17777951,21 MUGGA WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706144485,153.53025648,-28.18508649,"UNIT 1, 103 COMPANION WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706148806,153.53168348,-28.18109764,28 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706135249,153.53175098,-28.18056197,1 THE BOWSPRIT,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706134216,153.52745260,-28.18084392,42 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706165315,153.53113496,-28.18378058,73 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706141624,153.53026909,-28.17811099,"UNIT 1, 10 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706145561,153.53219651,-28.17768976,1 THE JIB,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706141600,153.53154212,-28.18507799,"UNIT 3, 17 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706141483,153.52697322,-28.18255515,40 PARKES DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW716635802,153.53172024,-28.18570111,"UNIT 2, 16 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706144790,153.53200806,-28.17845076,6 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706179261,153.53088378,-28.17964935,12 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706135325,153.53133317,-28.18228268,2 THE MAINBRACE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185503,153.52952408,-28.18349425,17 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
