LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
OT1,SHIRE OF CHRISTMAS ISLAND,9,OT,0,0,0,876,0,0,0,0,0,0,0,497
SA118,THE DC OF GRANT,4,SA,0,0,1918,102,1745,66,107,1787,54,77,631000,220
SA140,RENMARK PARINGA COUNCIL,4,SA,3414,0,0,0,2550,857,7,2550,864,0,567000,227
SA80,CITY OF PORT LINCOLN,4,SA,0,0,0,8938,0,0,0,0,0,0,28000,418
SA82,CITY OF SALISBURY,4,SA,0,0,52477,10616,51347,770,360,51214,332,931,1802000,122
TAS81,NORTHERN MIDLANDS COUNCIL,6,TAS,3825,0,2721,0,5351,775,420,5352,928,266,1902000,114
VIC102,MITCHELL SHIRE,2,VIC,14,2966,11919,0,14328,368,203,14613,151,135,803000,197
VIC125,MORNINGTON PENINSULA SHIRE,2,VIC,0,0,103974,9,100763,1315,1896,100596,650,2728,8254000,33
VIC153,HORSHAM RURAL CITY,2,VIC,10,0,2626,6028,1552,439,645,1918,718,0,2453000,93
WA307,CITY OF NEDLANDS,5,WA,0,2802,6267,0,9062,4,3,9063,4,2,14000,434
WA337,SHIRE OF BROOKTON,5,WA,0,0,563,0,561,2,0,561,0,2,2000,467
WA352,SHIRE OF WAROONA,5,WA,0,182,25,2140,203,4,0,203,4,0,20000,424
WA365,CITY OF GREATER GERALDTON,5,WA,0,0,19621,0,19016,232,373,19030,195,396,1025000,174
WA400,SHIRE OF LEONORA,5,WA,0,0,0,1083,0,0,0,0,0,0,0,497
WA403,SHIRE OF SANDSTONE,5,WA,0,0,0,181,0,0,0,0,0,0,0,497
TAS74,GLAMORGAN-SPRING BAY COUNCIL,6,TAS,0,0,4903,342,4358,367,178,4358,367,178,674000,214
VIC110,STRATHBOGIE SHIRE,2,VIC,279,3349,1083,0,2274,1953,484,3367,1327,17,1738000,124
VIC156,MOUNT BULLER ALPINE RESORT (UNINCORPORATED),2,VIC,0,0,834,0,834,0,0,834,0,0,0,497
VIC171,EAST GIPPSLAND SHIRE,2,VIC,2083,0,23183,334,22296,2760,210,22975,2291,0,2546000,88
VIC94,HEPBURN SHIRE,2,VIC,55,0,7431,0,7302,109,75,7353,133,0,262000,290
WA288,SHIRE OF CUBALLING,5,WA,0,0,607,0,606,1,0,605,2,0,1000,480
WA299,SHIRE OF NGAANYATJARRAKU,5,WA,0,0,0,0,0,0,0,0,0,0,0,497
WA354,SHIRE OF MUKINBUDIN,5,WA,0,0,247,0,245,2,0,244,1,2,1000,480
WA408,SHIRE OF GINGIN,5,WA,0,0,634,3527,511,103,20,511,103,20,220000,308
NT58,UN-INCORPORATED (ALYANGULA) AREA,7,NT,0,0,0,349,0,0,0,0,0,0,0,497
NT74,TIWI ISLANDS SHIRE,7,NT,0,0,0,1,0,0,0,0,0,0,0,497
QLD26,BURDEKIN SHIRE,3,QLD,8737,0,15,598,15,8737,0,8752,0,0,1327000,140
QLD27,BURKE SHIRE,3,QLD,0,0,0,375,0,0,0,0,0,0,243000,296
SA103,THE RURAL CITY OF MURRAY BRIDGE,4,SA,0,0,0,11009,0,0,0,0,0,0,180000,320
SA89,THE DC OF YANKALILLA,4,SA,0,0,0,4313,0,0,0,0,0,0,127000,347
TAS77,KING ISLAND COUNCIL,6,TAS,0,0,0,978,0,0,0,0,0,0,0,497
